City;Population
Adygea;440327
Balashikha;215494
Chekhov;60720
Kaluga;324698
Kazan;1143535
Khimki;207425
Krasnoyarsk;973826
Kursk;415159
Moscow;11503501
Mytishchi;173160
Nizhny Novgorod;1250619
Novosibirsk;1473754
Omsk;1154119
Rostov del Don;1089261
Saint Petersburg;1164685
Samara;4879566
Sergiyev Posad;111179
Surgut;306675
Tomsk;524669
Tyumen;581907
Ufa;1062319
Vologda;301755
Volzhsky;314255
Voronezh;889680
Yakutsk;298000
Yaroslavl;591486
Zhukovsky;104736
OutboundTrade;0
Web;0
