date,item_cnt_day
2013-01-06,18.0
2013-01-13,25.0
2013-01-20,12.0
2013-01-27,8.0
2013-02-03,10.0
2013-02-10,9.0
2013-02-17,23.0
2013-02-24,37.0
2013-03-03,20.0
2013-03-10,20.0
2013-03-17,11.0
2013-03-24,27.0
2013-03-31,29.0
2013-04-07,20.0
2013-04-14,30.0
2013-04-21,22.0
2013-04-28,23.0
2013-05-05,26.0
2013-05-12,9.0
2013-05-19,20.0
2013-05-26,21.0
2013-06-02,26.0
2013-06-09,21.0
2013-06-16,26.0
2013-06-23,16.0
2013-06-30,22.0
2013-07-07,23.0
2013-07-14,19.0
2013-07-21,12.0
2013-07-28,14.0
2013-08-04,13.0
2013-08-11,17.0
2013-08-18,17.0
2013-08-25,26.0
2013-09-01,31.0
2013-09-08,35.0
2013-09-15,32.0
2013-09-22,51.0
2013-09-29,27.0
2013-10-06,25.0
2013-10-13,15.0
2013-10-20,22.0
2013-10-27,17.0
2013-11-03,33.0
2013-11-10,30.0
2013-11-17,24.0
2013-11-24,22.0
2013-12-01,104.0
2013-12-08,66.0
2013-12-15,52.0
2013-12-22,58.0
2013-12-29,88.0
2014-01-05,83.0
2014-01-12,62.0
2014-01-19,47.0
2014-01-26,23.0
2014-02-02,43.0
2014-02-09,38.0
2014-02-16,54.0
2014-02-23,74.0
2014-03-02,71.0
2014-03-09,54.0
2014-03-16,49.0
2014-03-23,103.0
2014-03-30,56.0
2014-04-06,44.0
2014-04-13,30.0
2014-04-20,43.0
2014-04-27,39.0
2014-05-04,37.0
2014-05-11,44.0
2014-05-18,32.0
2014-05-25,44.0
2014-06-01,58.0
2014-06-08,38.0
2014-06-15,36.0
2014-06-22,18.0
2014-06-29,36.0
2014-07-06,33.0
2014-07-13,29.0
2014-07-20,24.0
2014-07-27,30.0
2014-08-03,40.0
2014-08-10,46.0
2014-08-17,53.0
2014-08-24,49.0
2014-08-31,58.0
2014-09-07,54.0
2014-09-14,72.0
2014-09-21,37.0
2014-09-28,61.0
2014-10-05,71.0
2014-10-12,68.0
2014-10-19,57.0
2014-10-26,58.0
2014-11-02,65.0
2014-11-09,91.0
2014-11-16,82.0
2014-11-23,134.0
2014-11-30,82.0
2014-12-07,76.0
2014-12-14,73.0
2014-12-21,91.0
2014-12-28,140.0
2015-01-04,203.0
2015-01-11,123.0
2015-01-18,101.0
2015-01-25,94.0
2015-02-01,86.0
2015-02-08,57.0
2015-02-15,85.0
2015-02-22,70.0
2015-03-01,79.0
2015-03-08,54.0
2015-03-15,76.0
2015-03-22,62.0
2015-03-29,59.0
2015-04-05,45.0
2015-04-12,51.0
2015-04-19,32.0
2015-04-26,30.0
2015-05-03,34.0
2015-05-10,25.0
2015-05-17,34.0
2015-05-24,35.0
2015-05-31,27.0
2015-06-07,27.0
2015-06-14,35.0
2015-06-21,22.0
2015-06-28,40.0
2015-07-05,24.0
2015-07-12,28.0
2015-07-19,15.0
2015-07-26,37.0
2015-08-02,27.0
2015-08-09,33.0
2015-08-16,24.0
2015-08-23,30.0
2015-08-30,40.0
2015-09-06,40.0
2015-09-13,33.0
2015-09-20,43.0
2015-09-27,43.0
2015-10-04,29.0
2015-10-11,41.0
2015-10-18,41.0
2015-10-25,36.0
2015-11-01,39.0
